list_name,name,label,cfac_code,Province,District,Province_code,District_code,CFAC_Name,ao
village_list,AF3008_Bostonzai_Sangin Shahzada Kali Abdul Bari Masjid,Sangin Shahzada Kali Abdul Bari Masjid,AF3008_Bostonzai,Hilmand,Sangin,AF30,AF3008,bostonzai,KANAO
village_list,AF3008_Bostonzai_Sangin Shahzada Kali Abdull Halim Masjid,Sangin Shahzada Kali Abdull Halim Masjid,AF3008_Bostonzai,Hilmand,Sangin,AF30,AF3008,bostonzai,KANAO
village_list,AF3008_Bostonzai_Sangin Shahzada Kali Haji Janan Masjid,Sangin Shahzada Kali Haji Janan Masjid,AF3008_Bostonzai,Hilmand,Sangin,AF30,AF3008,bostonzai,KANAO
village_list,AF3008_Bostonzai_Sangin Shahzada Kali Sayeed Masjid,Sangin Shahzada Kali Sayeed Masjid,AF3008_Bostonzai,Hilmand,Sangin,AF30,AF3008,bostonzai,KANAO
village_list,AF3008_Bostonzai_Sangin Shahzadi Kali Ahmad Masjid,Sangin Shahzadi Kali Ahmad Masjid,AF3008_Bostonzai,Hilmand,Sangin,AF30,AF3008,bostonzai,KANAO
village_list,AF3008_Bostonzai_Sangin Shahzadi Kali Aman Ullah Masjid,Sangin Shahzadi Kali Aman Ullah Masjid,AF3008_Bostonzai,Hilmand,Sangin,AF30,AF3008,bostonzai,KANAO
village_list,AF3008_Bostonzai_Sangin Shahzadi Kali Baridad Masjid,Sangin Shahzadi Kali Baridad Masjid,AF3008_Bostonzai,Hilmand,Sangin,AF30,AF3008,bostonzai,KANAO
village_list,AF3008_Bostonzai_Sangin Shahzadi Kali Mohammad Hasam Masjid,Sangin Shahzadi Kali Mohammad Hasam Masjid,AF3008_Bostonzai,Hilmand,Sangin,AF30,AF3008,bostonzai,KANAO
village_list,AF3008_Bostonzai_Sangin Shahzadi Kali Ramazan Masjid,Sangin Shahzadi Kali Ramazan Masjid,AF3008_Bostonzai,Hilmand,Sangin,AF30,AF3008,bostonzai,KANAO
village_list,AF3008_Bostonzai_Sangin Shahzadi Kali Ramzan Masjid,Sangin Shahzadi Kali Ramzan Masjid,AF3008_Bostonzai,Hilmand,Sangin,AF30,AF3008,bostonzai,KANAO
village_list,AF3008_Bostonzai_Sangin Shahzadi Kali Ubaid Ullah Masjid,Sangin Shahzadi Kali Ubaid Ullah Masjid,AF3008_Bostonzai,Hilmand,Sangin,AF30,AF3008,bostonzai,KANAO
village_list,AF3008_Choghak_Sangin Shakar Shela,Sangin Shakar Shela,AF3008_Choghak,Hilmand,Sangin,AF30,AF3008,Choghak,KANAO
village_list,AF3008_Choghak_Sangin Shakar Shela Mira Jan Masjid,Sangin Shakar Shela Mira Jan Masjid,AF3008_Choghak,Hilmand,Sangin,AF30,AF3008,Choghak,KANAO
village_list,AF3008_Choghak_Sangin Shaker Shela,Sangin Shaker Shela,AF3008_Choghak,Hilmand,Sangin,AF30,AF3008,Choghak,KANAO
village_list,AF3008_Choghak_Sangin Shaker Shela Abdul Ali Masjid,Sangin Shaker Shela Abdul Ali Masjid,AF3008_Choghak,Hilmand,Sangin,AF30,AF3008,Choghak,KANAO
village_list,AF3008_Choghak_Sangin Shaker Shela Abdul Raziq Masjid,Sangin Shaker Shela Abdul Raziq Masjid,AF3008_Choghak,Hilmand,Sangin,AF30,AF3008,Choghak,KANAO
village_list,AF3008_Choghak_Sangin Shaker Shela Obaydullah Masjid,Sangin Shaker Shela Obaydullah Masjid,AF3008_Choghak,Hilmand,Sangin,AF30,AF3008,Choghak,KANAO
village_list,AF3008_Choghak_Sangin Shaker Shela Sat Malok Masjid,Sangin Shaker Shela Sat Malok Masjid,AF3008_Choghak,Hilmand,Sangin,AF30,AF3008,Choghak,KANAO
village_list,AF3008_Choghak_Sangin Shaker Shela Satar Masjid,Sangin Shaker Shela Satar Masjid,AF3008_Choghak,Hilmand,Sangin,AF30,AF3008,Choghak,KANAO
village_list,AF3008_Choghak_Sangin Shaker Shela Shakoor Masjid,Sangin Shaker Shela Shakoor Masjid,AF3008_Choghak,Hilmand,Sangin,AF30,AF3008,Choghak,KANAO
village_list,AF3008_Choghak_Sangin Shankar Shela,Sangin Shankar Shela,AF3008_Choghak,Hilmand,Sangin,AF30,AF3008,Choghak,KANAO
village_list,AF3008_Kotozai_Sangin Shawal Sidal Aka Masjid,Sangin Shawal Sidal Aka Masjid,AF3008_Kotozai,Hilmand,Sangin,AF30,AF3008,Kotozai,KANAO
village_list,AF3008_Choghak_Sangin Shela Abdul Ali Masjid,Sangin Shela Abdul Ali Masjid,AF3008_Choghak,Hilmand,Sangin,AF30,AF3008,Choghak,KANAO
village_list,AF3008_Choghak_Sangin Shela Ahmadzi Masjid,Sangin Shela Ahmadzi Masjid,AF3008_Choghak,Hilmand,Sangin,AF30,AF3008,Choghak,KANAO
village_list,AF3008_Choghak_Sangin Shela Haji Abdul Ali Masjid,Sangin Shela Haji Abdul Ali Masjid,AF3008_Choghak,Hilmand,Sangin,AF30,AF3008,Choghak,KANAO
village_list,AF3008_Choghak_Sangin Shela Haji Gul Masjid,Sangin Shela Haji Gul Masjid,AF3008_Choghak,Hilmand,Sangin,AF30,AF3008,Choghak,KANAO
village_list,AF3008_Choghak_Sangin Shela Haji Karim Masjid,Sangin Shela Haji Karim Masjid,AF3008_Choghak,Hilmand,Sangin,AF30,AF3008,Choghak,KANAO
village_list,AF3008_Choghak_Sangin Shela Haji Mohammad Rasoul Masjid,Sangin Shela Haji Mohammad Rasoul Masjid,AF3008_Choghak,Hilmand,Sangin,AF30,AF3008,Choghak,KANAO
village_list,AF3008_Choghak_Sangin Shela Haji Noor Mohammed Masjid,Sangin Shela Haji Noor Mohammed Masjid,AF3008_Choghak,Hilmand,Sangin,AF30,AF3008,Choghak,KANAO
village_list,AF3008_Choghak_Sangin Shela Kali Baqi Masjid,Sangin Shela Kali Baqi Masjid,AF3008_Choghak,Hilmand,Sangin,AF30,AF3008,Choghak,KANAO
village_list,AF3008_Joshali_Sangin Shela Mirgul Aka Masjid,Sangin Shela Mirgul Aka Masjid,AF3008_Joshali,Hilmand,Sangin,AF30,AF3008,Joshali,KANAO
village_list,AF3008_Choghak_Sangin Shela Mohammad Rasoul Masjid,Sangin Shela Mohammad Rasoul Masjid,AF3008_Choghak,Hilmand,Sangin,AF30,AF3008,Choghak,KANAO
village_list,AF3008_Choghak_Sangin Shela Mohammad Raza Masjid,Sangin Shela Mohammad Raza Masjid,AF3008_Choghak,Hilmand,Sangin,AF30,AF3008,Choghak,KANAO
village_list,AF3008_Choghak_Sangin Shela Mola Noor Mohammed Masjid,Sangin Shela Mola Noor Mohammed Masjid,AF3008_Choghak,Hilmand,Sangin,AF30,AF3008,Choghak,KANAO
